,text,frequency,Edition
0,!,950,20
1,education,778,20
2,director,314,20
3,¥,245,20
4,federal,237,20
5,development,173,20
6,national,172,20
7,government,170,20
8,system,164,20
9,teachers,147,20
10,state,134,20
11,college,134,20
12,sector,130,20
13,school,127,20
14,educational,113,20
15,schools,111,20
16,?,110,20
17,ltd,108,20
18,principal,103,20
19,private,101,20
20,commission,99,20
21,tertiary,99,20
22,skills,97,20
23,learning,96,20
24,public,93,20
25,dr,90,20
26,executive,89,20
27,university,88,20
28,ministry,84,20
29,planning,84,20
30,ð,84,20
31,basic,81,20
32,bank,80,20
33,students,78,20
34,quality,77,20
35,managing,77,20
36,funding,74,20
37,council,72,20
38,chairman,71,20
39,curriculum,70,20
40,question,70,20
41,deputy,69,20
42,teacher,63,20
43,limited,61,20
44,vice,61,20
45,head,61,20
46,children,59,20
47,early,58,20
48,technology,58,20
49,professor,58,20
50,research,57,20
51,access,57,20
52,international,57,20
53,manager,57,20
54,institutions,56,20
55,group,55,20
56,plc,55,20
57,policy,53,20
58,country,53,20
59,ms,53,20
60,global,52,20
61,teaching,52,20
62,response,52,20
63,future,51,20
64,training,51,20
65,management,51,20
66,technical,50,20
67,leadership,50,20
68,ict,49,20
69,years,48,20
70,accountability,48,20
71,secondary,48,20
72,business,46,20
73,ceo,46,20
74,general,45,20
75,knowledge,45,20
76,secretary,45,20
77,foundation,45,20
78,president,44,20
79,level,44,20
80,officer,44,20
81,trust,43,20
82,fund,43,20
83,needs,42,20
84,programme,42,20
85,world,42,20
86,board,41,20
87,student,40,20
88,'',40,20
89,vocational,39,20
90,ensure,39,20
91,plenary,38,20
92,key,38,20
93,make,38,20
94,television,38,20
95,develop,37,20
96,outcomes,37,20
97,funds,37,20
98,workshop,36,20
99,new,36,20
100,focus,36,20
101,africa,36,20
102,design,35,20
103,chief,35,20
104,assistant,35,20
105,local,34,20
106,member,34,20
107,investment,33,20
108,critical,33,20
109,one,33,20
110,summit,32,20
111,partnerships,32,20
112,made,32,20
113,effective,32,20
114,challenges,32,20
115,values,32,20
116,primary,32,20
117,resource,32,20
118,budget,32,20
119,channels,32,20
120,institute,31,20
121,important,31,20
122,address,30,20
123,framework,30,20
124,first,30,20
125,identify,30,20
126,social,30,20
127,team,30,20
128,chancellor,30,20
129,capital,30,20
130,e,29,20
131,human,29,20
132,create,29,20
133,increase,29,20
134,office,29,20
135,nesg,28,20
136,information,28,20
137,work,28,20
138,improve,28,20
139,change,28,20
140,corporate,28,20
141,girlsõ,28,20
142,performance,27,20
143,list,27,20
144,well,27,20
145,stakeholders,27,20
146,childhood,27,20
147,support,27,20
148,people,27,20
149,``,27,20
150,based,26,20
151,colleges,26,20
152,assessment,26,20
153,standards,26,20
154,association,26,20
155,expected,26,20
156,founder,26,20
157,nigeriaõs,25,20
158,child,25,20
159,c,25,20
160,current,25,20
161,society,25,20
162,levels,25,20
163,universities,25,20
164,federation,25,20
165,issues,25,20
166,governor,25,20
167,snr,25,20
168,staff,24,20
169,ubec,24,20
170,states,24,20
171,every,24,20
172,industry,24,20
173,capacity,24,20
174,programmes,24,20
175,leaders,24,20
176,rivers,24,20
177,responsibility,23,20
178,3,23,20
179,would,23,20
180,infrastructure,23,20
181,us,23,20
182,encourage,23,20
183,best,23,20
184,implementation,23,20
185,lack,23,20
186,universal,23,20
187,nig,23,20
188,1,22,20
189,2,22,20
190,graduates,22,20
191,phillips,22,20
192,partner,22,20
193,profession,22,20
194,central,22,20
195,project,22,20
196,enactus,22,20
197,abuja,21,20
198,house,21,20
199,recommendations,21,20
200,session,21,20
201,high,21,20
202,take,21,20
203,required,21,20
204,available,21,20
205,academic,21,20
206,vision,21,20
207,partnership,21,20
208,sola,21,20
209,finance,21,20
210,20,20,20
211,2014,20,20
212,use,20,20
213,media,20,20
214,time,20,20
215,systems,20,20
216,community,20,20
217,relevant,20,20
218,progress,20,20
219,moderator,20,20
220,areas,20,20
221,data,20,20
222,presentation,20,20
223,consulting,20,20
224,presidential,19,20
225,communication,19,20
226,science,19,20
227,set,19,20
228,minister,19,20
229,right,19,20
230,lead,19,20
231,company,19,20
232,opportunities,19,20
233,services,19,20
234,centre,19,20
235,co,19,20
236,better,18,20
237,review,18,20
238,number,18,20
239,committee,18,20
240,tvet,18,20
241,governance,18,20
242,african,18,20
243,initiative,18,20
244,strategy,18,20
245,o,18,20
246,advisory,18,20
247,communications,18,20
248,a,18,20
249,persons,17,20
250,law,17,20
251,ii,17,20
252,equity,17,20
253,continuous,17,20
254,content,17,20
255,monitoring,17,20
256,assurance,17,20
257,towards,17,20
258,learn,17,20
259,political,17,20
260,good,17,20
261,parents,17,20
262,challenge,17,20
263,regional,17,20
264,process,17,20
265,poor,17,20
266,prof,17,20
267,background,17,20
268,corona,17,20
269,polytechnic,17,20
270,competitiveness,16,20
271,specific,16,20
272,purpose,16,20
273,dialogue,16,20
274,sustainable,16,20
275,solutions,16,20
276,resources,16,20
277,competencies,16,20
278,collaboration,16,20
279,importance,16,20
280,problem,16,20
281,professional,16,20
282,service,16,20
283,impact,16,20
284,billion,16,20
285,united,16,20
286,representative,16,20
287,clearing,16,20
288,news,16,20
